MatricNo,CandidateNo
S-2020-002,20
S-2020-002,18
S-2020-002,5
S-2020-002,4
S-2020-002,17
S-2020-002,11
S-2020-002,13
S-2020-002,3
S-2020-003,16
S-2020-003,13
S-2020-003,18
S-2020-003,4
S-2020-003,2
S-2020-003,12
S-2020-003,19
S-2020-004,3
S-2020-004,23
S-2020-004,1
S-2020-004,24
S-2020-004,8
S-2020-004,19
S-2020-004,20
S-2020-005,14
S-2020-005,13
S-2020-005,9
S-2020-005,12
S-2020-005,8
S-2020-005,20
S-2020-006,16
S-2020-006,1
S-2020-006,22
S-2020-006,2
S-2020-006,23
S-2020-006,15
S-2020-006,6
S-2020-007,18
S-2020-007,10
S-2020-007,3
S-2020-007,7
S-2020-007,12
S-2020-007,22
S-2020-007,16
S-2020-007,23
S-2020-008,5
S-2020-008,9
S-2020-008,20
S-2020-008,15
S-2020-008,16
S-2020-008,24
S-2020-009,16
S-2020-009,24
S-2020-009,23
S-2020-009,2
S-2020-009,15
S-2020-009,19
S-2020-010,13
S-2020-010,9
S-2020-010,24
S-2020-010,5
S-2020-010,10
S-2020-010,4
S-2020-010,14
S-2020-011,16
S-2020-011,5
S-2020-011,24
S-2020-011,2
S-2020-011,10
S-2020-011,22
S-2020-011,23
S-2020-012,24
S-2020-012,4
S-2020-012,14
S-2020-012,6
S-2020-012,13
S-2020-012,16
S-2020-012,15
S-2020-012,7
S-2020-013,20
S-2020-013,10
S-2020-013,21
S-2020-013,13
S-2020-013,16
S-2020-013,7
S-2020-014,9
S-2020-014,19
S-2020-014,4
S-2020-014,6
S-2020-014,15
S-2020-014,3
S-2020-014,11
S-2020-015,12
S-2020-015,10
S-2020-015,7
S-2020-015,22
S-2020-015,5
S-2020-015,20
S-2020-016,20
S-2020-016,14
S-2020-016,8
S-2020-016,7
S-2020-016,23
S-2020-017,1
S-2020-017,6
S-2020-017,14
S-2020-017,24
S-2020-017,13
S-2020-017,20
S-2020-017,4
S-2020-017,16
S-2020-018,15
S-2020-018,7
S-2020-018,16
S-2020-018,14
S-2020-018,6
S-2020-018,8
S-2020-018,12
S-2020-018,10
S-2020-019,9
S-2020-019,10
S-2020-019,8
S-2020-019,21
S-2020-019,14
S-2020-020,9
S-2020-020,20
S-2020-020,2
S-2020-020,21
S-2020-020,5
S-2020-020,8
S-2020-020,4
S-2020-020,22
S-2020-021,13
S-2020-021,3
S-2020-021,21
S-2020-021,5
S-2020-021,2
S-2020-021,1
S-2020-021,8
S-2020-021,6
S-2020-022,8
S-2020-022,9
S-2020-022,12
S-2020-022,10
S-2020-022,24
S-2020-022,19
S-2020-022,1
S-2020-022,14
S-2020-023,14
S-2020-023,24
S-2020-023,12
S-2020-023,1
S-2020-023,7
S-2020-023,2
S-2020-024,12
S-2020-024,13
S-2020-024,10
S-2020-024,22
S-2020-024,14
S-2020-025,16
S-2020-025,15
S-2020-025,17
S-2020-025,2
S-2020-025,14
S-2020-025,11
S-2020-026,18
S-2020-026,6
S-2020-026,9
S-2020-026,5
S-2020-026,3
S-2020-026,22
S-2020-027,22
S-2020-027,23
S-2020-027,10
S-2020-027,9
S-2020-027,24
S-2020-027,2
S-2020-027,6
S-2020-028,9
S-2020-028,4
S-2020-028,14
S-2020-028,12
S-2020-028,3
S-2020-028,7
S-2020-028,15
S-2020-029,10
S-2020-029,17
S-2020-029,12
S-2020-029,15
S-2020-029,8
S-2020-029,11
S-2020-030,9
S-2020-030,20
S-2020-030,18
S-2020-030,10
S-2020-030,1
S-2020-030,3
S-2020-031,15
S-2020-031,8
S-2020-031,4
S-2020-031,6
S-2020-031,7
S-2020-031,14
S-2020-031,12
S-2020-031,1
S-2020-032,16
S-2020-032,17
S-2020-032,13
S-2020-032,8
S-2020-032,3
S-2020-032,4
S-2020-033,9
S-2020-033,23
S-2020-033,4
S-2020-033,1
S-2020-033,6
S-2020-034,13
S-2020-034,20
S-2020-034,5
S-2020-034,19
S-2020-034,23
S-2020-034,3
S-2020-034,16
S-2020-034,24
S-2020-035,24
S-2020-035,1
S-2020-035,4
S-2020-035,20
S-2020-035,6
S-2020-035,14
S-2020-035,17
S-2020-035,3
S-2020-036,1
S-2020-036,11
S-2020-036,2
S-2020-036,19
S-2020-036,24
S-2020-036,14
S-2020-037,8
S-2020-037,22
S-2020-037,24
S-2020-037,4
S-2020-037,2
S-2020-037,1
S-2020-037,10
S-2020-037,20
S-2020-038,3
S-2020-038,21
S-2020-038,13
S-2020-038,9
S-2020-038,15
S-2020-038,1
S-2020-038,11
S-2020-039,20
S-2020-039,10
S-2020-039,21
S-2020-039,2
S-2020-039,18
S-2020-040,24
S-2020-040,8
S-2020-040,3
S-2020-040,21
S-2020-040,16
S-2020-040,22
S-2020-040,9
S-2020-041,21
S-2020-041,20
S-2020-041,4
S-2020-041,6
S-2020-041,3
S-2020-041,22
S-2020-041,11
S-2020-041,19
S-2020-042,19
S-2020-042,24
S-2020-042,5
S-2020-042,16
S-2020-042,9
S-2020-042,15
S-2020-043,9
S-2020-043,21
S-2020-043,2
S-2020-043,13
S-2020-043,22
S-2020-043,15
S-2020-044,2
S-2020-044,20
S-2020-044,7
S-2020-044,8
S-2020-044,5
S-2020-045,15
S-2020-045,13
S-2020-045,8
S-2020-045,2
S-2020-045,10
S-2020-045,14
S-2020-045,4
S-2020-046,1
S-2020-046,16
S-2020-046,18
S-2020-046,3
S-2020-046,2
S-2020-046,21
S-2020-047,14
S-2020-047,23
S-2020-047,16
S-2020-047,10
S-2020-047,5
S-2020-048,11
S-2020-048,12
S-2020-048,7
S-2020-048,24
S-2020-048,10
S-2020-048,6
S-2020-049,6
S-2020-049,21
S-2020-049,14
S-2020-049,1
S-2020-049,10
S-2020-049,2
S-2020-050,18
S-2020-050,4
S-2020-050,14
S-2020-050,23
S-2020-050,24
S-2020-050,15
S-2020-050,11
S-2020-051,4
S-2020-051,10
S-2020-051,15
S-2020-051,2
S-2020-051,12
S-2020-051,14
S-2020-051,19
S-2020-051,23
S-2020-052,18
S-2020-052,13
S-2020-052,8
S-2020-052,3
S-2020-052,17
S-2020-052,4
S-2020-053,5
S-2020-053,12
S-2020-053,13
S-2020-053,2
S-2020-053,22
S-2020-053,4
S-2020-054,24
S-2020-054,3
S-2020-054,5
S-2020-054,1
S-2020-054,19
S-2020-054,13
S-2020-055,20
S-2020-055,5
S-2020-055,18
S-2020-055,1
S-2020-055,22
S-2020-055,16
S-2020-055,7
S-2020-056,3
S-2020-056,21
S-2020-056,10
S-2020-056,8
S-2020-056,2
S-2020-057,23
S-2020-057,20
S-2020-057,3
S-2020-057,24
S-2020-057,7
S-2020-057,19
S-2020-058,21
S-2020-058,13
S-2020-058,1
S-2020-058,4
S-2020-058,10
S-2020-059,23
S-2020-059,10
S-2020-059,3
S-2020-059,21
S-2020-059,16
S-2020-059,22
S-2020-059,4
S-2020-059,15
S-2020-060,17
S-2020-060,12
S-2020-060,22
S-2020-060,7
S-2020-060,3
S-2020-060,6
S-2020-060,24
S-2020-060,9
S-2020-061,20
S-2020-061,18
S-2020-061,12
S-2020-061,5
S-2020-061,6
S-2020-061,13
S-2020-061,10
S-2020-061,24
S-2020-062,17
S-2020-062,4
S-2020-062,20
S-2020-062,12
S-2020-062,23
S-2020-062,16
S-2020-062,8
S-2020-063,13
S-2020-063,18
S-2020-063,23
S-2020-063,19
S-2020-063,24
S-2020-063,8
S-2020-064,14
S-2020-064,21
S-2020-064,11
S-2020-064,2
S-2020-064,4
S-2020-064,13
S-2020-064,17
S-2020-064,20
S-2020-065,4
S-2020-065,17
S-2020-065,7
S-2020-065,21
S-2020-065,2
S-2020-065,16
S-2020-066,22
S-2020-066,4
S-2020-066,5
S-2020-066,9
S-2020-066,8
S-2020-066,11
S-2020-066,7
S-2020-067,21
S-2020-067,5
S-2020-067,13
S-2020-067,9
S-2020-067,18
S-2020-067,24
S-2020-067,19
S-2020-068,3
S-2020-068,12
S-2020-068,11
S-2020-068,9
S-2020-068,10
S-2020-068,6
S-2020-068,14
S-2020-069,2
S-2020-069,11
S-2020-069,19
S-2020-069,12
S-2020-069,18
S-2020-069,8
S-2020-069,13
S-2020-069,15
S-2020-070,15
S-2020-070,2
S-2020-070,9
S-2020-070,22
S-2020-070,12
S-2020-071,21
S-2020-071,10
S-2020-071,17
S-2020-071,13
S-2020-071,6
S-2020-071,20
S-2020-071,7
S-2020-072,2
S-2020-072,4
S-2020-072,24
S-2020-072,21
S-2020-072,23
S-2020-072,14
S-2020-072,18
S-2020-072,9
S-2020-073,17
S-2020-073,7
S-2020-073,23
S-2020-073,24
S-2020-073,22
S-2020-073,21
S-2020-073,20
S-2020-074,5
S-2020-074,9
S-2020-074,11
S-2020-074,7
S-2020-074,8
S-2020-075,23
S-2020-075,5
S-2020-075,24
S-2020-075,1
S-2020-075,10
S-2020-075,6
S-2020-075,16
S-2020-076,7
S-2020-076,5
S-2020-076,17
S-2020-076,21
S-2020-076,11
S-2020-077,23
S-2020-077,20
S-2020-077,21
S-2020-077,14
S-2020-077,19
S-2020-077,18
S-2020-078,22
S-2020-078,19
S-2020-078,7
S-2020-078,2
S-2020-078,13
S-2020-079,4
S-2020-079,18
S-2020-079,19
S-2020-079,11
S-2020-079,15
S-2020-080,2
S-2020-080,16
S-2020-080,21
S-2020-080,1
S-2020-080,19
S-2020-080,12
S-2020-080,4
S-2020-080,13
S-2020-081,6
S-2020-081,17
S-2020-081,14
S-2020-081,1
S-2020-081,5
S-2020-081,23
S-2020-081,12
S-2020-081,13
S-2020-082,17
S-2020-082,4
S-2020-082,15
